Neuron 0 → Top40 frames
   Video 15, Frame 809, Value 1.9646
   Video 15, Frame 784, Value 1.9645
   Video 2, Frame 799, Value 1.9645
   Video 2, Frame 797, Value 1.9645
   Video 2, Frame 783, Value 1.9644
   Video 5, Frame 817, Value 1.9643
   Video 2, Frame 804, Value 1.9643
   Video 2, Frame 780, Value 1.9643
   Video 10, Frame 780, Value 1.9643
   Video 34, Frame 780, Value 1.9643
   Video 5, Frame 818, Value 1.9643
   Video 10, Frame 782, Value 1.9642
   Video 2, Frame 802, Value 1.9642
   Video 5, Frame 807, Value 1.9642
   Video 15, Frame 789, Value 1.9642
   Video 5, Frame 816, Value 1.9642
   Video 34, Frame 808, Value 1.9642
--------------------------------------------------
Neuron 6 → Top40 frames
   Video 0, Frame 1479, Value 5.7843
   Video 25, Frame 1512, Value 5.7836
   Video 24, Frame 1608, Value 5.7713
   Video 33, Frame 1097, Value 5.7711
   Video 2, Frame 5104, Value 5.7684
   Video 25, Frame 1513, Value 5.7614
   Video 13, Frame 1354, Value 5.7591
   Video 17, Frame 1643, Value 5.7544
   Video 0, Frame 1478, Value 5.7531
   Video 0, Frame 1480, Value 5.7528
   Video 25, Frame 1514, Value 5.7512
   Video 0, Frame 1481, Value 5.7507
   Video 24, Frame 1607, Value 5.7502
   Video 0, Frame 1482, Value 5.7461
   Video 25, Frame 1515, Value 5.7460
   Video 33, Frame 1096, Value 5.7455
   Video 33, Frame 1099, Value 5.7443
   Video 33, Frame 1098, Value 5.7443
   Video 25, Frame 1516, Value 5.7431
   Video 0, Frame 1484, Value 5.7428
   Video 0, Frame 1485, Value 5.7427
   Video 0, Frame 1483, Value 5.7426
   Video 25, Frame 1517, Value 5.7412
   Video 25, Frame 1518, Value 5.7410
   Video 33, Frame 1100, Value 5.7403
   Video 2, Frame 5105, Value 5.7387
   Video 33, Frame 1103, Value 5.7387
   Video 33, Frame 1102, Value 5.7386
   Video 24, Frame 1610, Value 5.7381
   Video 33, Frame 1101, Value 5.7374
   Video 24, Frame 1609, Value 5.7373
   Video 10, Frame 2970, Value 5.7359
   Video 17, Frame 1642, Value 5.7349
   Video 24, Frame 1611, Value 5.7332
   Video 13, Frame 1353, Value 5.7319
   Video 2, Frame 5106, Value 5.7301
   Video 24, Frame 1613, Value 5.7292
   Video 24, Frame 1612, Value 5.7288
   Video 2, Frame 5107, Value 5.7273
   Video 24, Frame 1614, Value 5.7269
--------------------------------------------------
Neuron 7 → Top40 frames
   Video 31, Frame 1889, Value 4.5477
   Video 31, Frame 1888, Value 4.5473
   Video 31, Frame 1886, Value 4.5470
   Video 31, Frame 1887, Value 4.5465
   Video 31, Frame 1890, Value 4.5379
   Video 31, Frame 1885, Value 4.5348
   Video 31, Frame 1884, Value 4.5187
   Video 31, Frame 1891, Value 4.5149
   Video 31, Frame 1883, Value 4.4721
   Video 31, Frame 1892, Value 4.4593
   Video 31, Frame 1882, Value 4.4409
   Video 19, Frame 1142, Value 4.4404
   Video 19, Frame 1141, Value 4.4394
   Video 19, Frame 1140, Value 4.4389
   Video 19, Frame 1139, Value 4.4372
   Video 19, Frame 1143, Value 4.4341
   Video 19, Frame 1138, Value 4.4335
   Video 19, Frame 1137, Value 4.4281
   Video 19, Frame 1136, Value 4.4276
   Video 19, Frame 1135, Value 4.4269
   Video 19, Frame 1134, Value 4.4268
   Video 19, Frame 1145, Value 4.4267
   Video 19, Frame 1144, Value 4.4261
   Video 31, Frame 1881, Value 4.4260
   Video 19, Frame 1133, Value 4.4237
   Video 31, Frame 1893, Value 4.4229
   Video 19, Frame 1132, Value 4.4228
   Video 31, Frame 1880, Value 4.4221
   Video 19, Frame 1131, Value 4.4182
   Video 31, Frame 1879, Value 4.4167
   Video 19, Frame 1130, Value 4.4151
   Video 19, Frame 1129, Value 4.4083
   Video 19, Frame 1128, Value 4.4047
   Video 19, Frame 1146, Value 4.3976
   Video 31, Frame 1878, Value 4.3966
   Video 31, Frame 1894, Value 4.3937
   Video 19, Frame 1127, Value 4.3786
   Video 31, Frame 1895, Value 4.3682
   Video 31, Frame 1877, Value 4.3088
   Video 31, Frame 1896, Value 4.2943
--------------------------------------------------
Neuron 8 → Top40 frames
   Video 13, Frame 649, Value 3.5768
   Video 13, Frame 648, Value 3.5748
   Video 13, Frame 647, Value 3.5692
   Video 13, Frame 650, Value 3.5644
   Video 13, Frame 646, Value 3.5623
   Video 13, Frame 645, Value 3.5526
   Video 13, Frame 644, Value 3.5391
   Video 13, Frame 643, Value 3.5253
   Video 13, Frame 642, Value 3.5162
   Video 13, Frame 641, Value 3.5160
   Video 13, Frame 640, Value 3.5123
   Video 13, Frame 638, Value 3.5000
   Video 13, Frame 651, Value 3.4985
   Video 13, Frame 639, Value 3.4955
   Video 13, Frame 637, Value 3.4759
   Video 25, Frame 927, Value 3.4530
   Video 25, Frame 926, Value 3.4529
   Video 13, Frame 652, Value 3.4495
   Video 39, Frame 1528, Value 3.4465
   Video 38, Frame 1001, Value 3.4455
   Video 38, Frame 999, Value 3.4453
   Video 38, Frame 1000, Value 3.4448
   Video 38, Frame 998, Value 3.4430
   Video 39, Frame 1527, Value 3.4394
   Video 8, Frame 1259, Value 3.4383
   Video 25, Frame 925, Value 3.4379
   Video 13, Frame 636, Value 3.4378
   Video 20, Frame 943, Value 3.4362
   Video 28, Frame 700, Value 3.4359
   Video 28, Frame 701, Value 3.4354
   Video 28, Frame 699, Value 3.4351
   Video 20, Frame 942, Value 3.4344
   Video 20, Frame 941, Value 3.4309
   Video 25, Frame 924, Value 3.4307
   Video 28, Frame 702, Value 3.4275
   Video 5, Frame 1419, Value 3.4269
   Video 5, Frame 1418, Value 3.4260
   Video 38, Frame 997, Value 3.4258
   Video 13, Frame 653, Value 3.4247
   Video 8, Frame 1258, Value 3.4241
--------------------------------------------------
Neuron 9 → Top40 frames
   Video 35, Frame 2238, Value 3.9766
   Video 35, Frame 2239, Value 3.9761
   Video 35, Frame 2237, Value 3.9758
   Video 35, Frame 2233, Value 3.9732
   Video 35, Frame 2243, Value 3.9723
   Video 35, Frame 2240, Value 3.9715
   Video 35, Frame 2242, Value 3.9701
   Video 35, Frame 2236, Value 3.9695
   Video 35, Frame 2232, Value 3.9687
   Video 35, Frame 2241, Value 3.9685
   Video 35, Frame 2234, Value 3.9664
   Video 35, Frame 2235, Value 3.9647
   Video 35, Frame 2244, Value 3.9562
   Video 35, Frame 2230, Value 3.9534
   Video 35, Frame 2229, Value 3.9523
   Video 35, Frame 2231, Value 3.9492
   Video 35, Frame 2228, Value 3.9248
   Video 35, Frame 2245, Value 3.9196
   Video 35, Frame 2227, Value 3.9059
   Video 35, Frame 2226, Value 3.8944
   Video 3, Frame 1163, Value 3.8562
   Video 3, Frame 1172, Value 3.8547
   Video 3, Frame 1187, Value 3.8547
   Video 3, Frame 1190, Value 3.8534
   Video 3, Frame 1188, Value 3.8533
   Video 3, Frame 1189, Value 3.8530
   Video 3, Frame 1176, Value 3.8528
   Video 3, Frame 1164, Value 3.8524
   Video 3, Frame 1191, Value 3.8524
   Video 3, Frame 1178, Value 3.8521
   Video 3, Frame 1175, Value 3.8521
   Video 3, Frame 1177, Value 3.8520
   Video 3, Frame 1174, Value 3.8512
   Video 3, Frame 1192, Value 3.8511
   Video 3, Frame 1173, Value 3.8507
   Video 35, Frame 2246, Value 3.8506
   Video 3, Frame 1171, Value 3.8503
   Video 3, Frame 1193, Value 3.8498
   Video 3, Frame 1194, Value 3.8498
   Video 3, Frame 1186, Value 3.8498
--------------------------------------------------
Neuron 10 → Top40 frames
   Video 1, Frame 383, Value 3.1838
   Video 1, Frame 362, Value 3.1834
   Video 23, Frame 363, Value 3.1831
   Video 23, Frame 362, Value 3.1831
   Video 23, Frame 364, Value 3.1830
   Video 1, Frame 382, Value 3.1829
   Video 1, Frame 364, Value 3.1829
   Video 1, Frame 375, Value 3.1827
   Video 1, Frame 377, Value 3.1827
   Video 1, Frame 379, Value 3.1827
   Video 1, Frame 380, Value 3.1826
   Video 23, Frame 365, Value 3.1826
   Video 1, Frame 369, Value 3.1825
   Video 1, Frame 360, Value 3.1825
   Video 23, Frame 361, Value 3.1824
   Video 1, Frame 381, Value 3.1824
   Video 1, Frame 363, Value 3.1824
   Video 1, Frame 373, Value 3.1823
   Video 23, Frame 357, Value 3.1823
   Video 1, Frame 371, Value 3.1822
   Video 1, Frame 376, Value 3.1822
   Video 1, Frame 370, Value 3.1821
   Video 23, Frame 358, Value 3.1821
   Video 23, Frame 369, Value 3.1820
   Video 23, Frame 371, Value 3.1820
   Video 23, Frame 356, Value 3.1818
   Video 1, Frame 367, Value 3.1818
   Video 23, Frame 360, Value 3.1818
   Video 1, Frame 365, Value 3.1818
   Video 1, Frame 374, Value 3.1818
   Video 1, Frame 368, Value 3.1817
   Video 23, Frame 372, Value 3.1817
   Video 1, Frame 353, Value 3.1815
   Video 1, Frame 378, Value 3.1815
   Video 23, Frame 367, Value 3.1815
   Video 1, Frame 372, Value 3.1815
   Video 1, Frame 356, Value 3.1815
   Video 23, Frame 359, Value 3.1814
   Video 23, Frame 368, Value 3.1814
   Video 1, Frame 361, Value 3.1814
--------------------------------------------------
Neuron 11 → Top40 frames
   Video 5, Frame 2096, Value 6.5270
   Video 19, Frame 1425, Value 6.5251
   Video 19, Frame 1426, Value 6.5242
   Video 19, Frame 1427, Value 6.5232
   Video 19, Frame 1421, Value 6.5220
   Video 19, Frame 1424, Value 6.5214
   Video 19, Frame 1420, Value 6.5210
   Video 19, Frame 1428, Value 6.5209
   Video 19, Frame 1429, Value 6.5207
   Video 19, Frame 1422, Value 6.5201
   Video 5, Frame 2097, Value 6.5198
   Video 19, Frame 1423, Value 6.5177
   Video 19, Frame 1419, Value 6.5153
   Video 21, Frame 1453, Value 6.5070
   Video 21, Frame 1450, Value 6.5069
   Video 21, Frame 1449, Value 6.5059
   Video 21, Frame 1452, Value 6.5059
   Video 21, Frame 1454, Value 6.5058
   Video 21, Frame 1448, Value 6.5048
   Video 21, Frame 1455, Value 6.5043
   Video 19, Frame 1414, Value 6.5032
   Video 19, Frame 1418, Value 6.5031
   Video 21, Frame 1457, Value 6.5026
   Video 21, Frame 1456, Value 6.5025
   Video 21, Frame 1451, Value 6.5023
   Video 21, Frame 1443, Value 6.5021
   Video 21, Frame 1458, Value 6.5019
   Video 5, Frame 2087, Value 6.5018
   Video 21, Frame 1447, Value 6.4999
   Video 5, Frame 2086, Value 6.4996
   Video 19, Frame 1417, Value 6.4959
   Video 19, Frame 1416, Value 6.4954
   Video 5, Frame 2085, Value 6.4912
   Video 21, Frame 1446, Value 6.4902
   Video 5, Frame 2095, Value 6.4900
   Video 21, Frame 1445, Value 6.4857
   Video 19, Frame 1415, Value 6.4857
   Video 5, Frame 2084, Value 6.4857
   Video 5, Frame 2082, Value 6.4844
   Video 21, Frame 1437, Value 6.4818
--------------------------------------------------
Neuron 12 → Top40 frames
   Video 6, Frame 4444, Value 4.2512
   Video 6, Frame 4440, Value 4.2510
   Video 6, Frame 4445, Value 4.2506
   Video 6, Frame 4442, Value 4.2505
   Video 6, Frame 4443, Value 4.2504
   Video 6, Frame 4446, Value 4.2502
   Video 6, Frame 4441, Value 4.2501
   Video 6, Frame 4447, Value 4.2497
   Video 6, Frame 4457, Value 4.2496
   Video 6, Frame 4439, Value 4.2492
   Video 6, Frame 4449, Value 4.2490
   Video 6, Frame 4456, Value 4.2489
   Video 6, Frame 4448, Value 4.2487
   Video 6, Frame 4465, Value 4.2486
   Video 6, Frame 4461, Value 4.2485
   Video 6, Frame 4463, Value 4.2484
   Video 6, Frame 4454, Value 4.2484
   Video 6, Frame 4458, Value 4.2484
   Video 6, Frame 4464, Value 4.2484
   Video 6, Frame 4460, Value 4.2484
   Video 6, Frame 4462, Value 4.2484
   Video 6, Frame 4437, Value 4.2483
   Video 6, Frame 4455, Value 4.2483
   Video 6, Frame 4438, Value 4.2475
   Video 6, Frame 4436, Value 4.2474
   Video 6, Frame 4459, Value 4.2469
   Video 6, Frame 4435, Value 4.2467
   Video 6, Frame 4450, Value 4.2461
   Video 6, Frame 4428, Value 4.2458
   Video 6, Frame 4466, Value 4.2458
   Video 6, Frame 4426, Value 4.2458
   Video 6, Frame 4429, Value 4.2456
   Video 6, Frame 4427, Value 4.2454
   Video 6, Frame 4430, Value 4.2452
   Video 6, Frame 4434, Value 4.2451
   Video 6, Frame 4425, Value 4.2446
   Video 6, Frame 4433, Value 4.2445
   Video 6, Frame 4424, Value 4.2441
   Video 6, Frame 4432, Value 4.2440
   Video 6, Frame 4431, Value 4.2438
--------------------------------------------------
Neuron 13 → Top40 frames
   Video 30, Frame 3802, Value 3.8681
   Video 30, Frame 3803, Value 3.8655
   Video 30, Frame 3812, Value 3.8352
   Video 30, Frame 3813, Value 3.8348
   Video 30, Frame 3811, Value 3.8340
   Video 30, Frame 3816, Value 3.8335
   Video 30, Frame 3814, Value 3.8334
   Video 30, Frame 3815, Value 3.8331
   Video 30, Frame 3810, Value 3.8291
   Video 30, Frame 3804, Value 3.8158
   Video 30, Frame 3805, Value 3.8082
   Video 30, Frame 3801, Value 3.8028
   Video 30, Frame 3806, Value 3.8007
   Video 30, Frame 3800, Value 3.7995
   Video 4, Frame 1555, Value 3.7994
   Video 30, Frame 3807, Value 3.7985
   Video 30, Frame 3809, Value 3.7973
   Video 30, Frame 3799, Value 3.7949
   Video 30, Frame 3808, Value 3.7925
   Video 30, Frame 3798, Value 3.7875
   Video 30, Frame 3817, Value 3.7849
   Video 4, Frame 1556, Value 3.7673
   Video 30, Frame 3797, Value 3.7573
   Video 5, Frame 1784, Value 3.7564
   Video 5, Frame 1785, Value 3.7550
   Video 4, Frame 1575, Value 3.7513
   Video 4, Frame 1574, Value 3.7490
   Video 30, Frame 3796, Value 3.7476
   Video 34, Frame 1808, Value 3.7469
   Video 4, Frame 1573, Value 3.7459
   Video 4, Frame 1576, Value 3.7439
   Video 34, Frame 1809, Value 3.7392
   Video 4, Frame 1562, Value 3.7384
   Video 4, Frame 1561, Value 3.7373
   Video 4, Frame 1572, Value 3.7368
   Video 4, Frame 1554, Value 3.7362
   Video 4, Frame 1571, Value 3.7296
   Video 4, Frame 1570, Value 3.7233
   Video 4, Frame 1569, Value 3.7175
   Video 4, Frame 1557, Value 3.7148
--------------------------------------------------
Neuron 14 → Top40 frames
   Video 3, Frame 1310, Value 3.3270
   Video 3, Frame 1309, Value 3.3220
   Video 3, Frame 1329, Value 3.3129
   Video 3, Frame 1330, Value 3.3124
   Video 3, Frame 1331, Value 3.3121
   Video 11, Frame 1013, Value 3.3117
   Video 3, Frame 1328, Value 3.3099
   Video 3, Frame 1308, Value 3.3088
   Video 11, Frame 1010, Value 3.3087
   Video 11, Frame 1009, Value 3.3074
   Video 3, Frame 1305, Value 3.3070
   Video 3, Frame 1327, Value 3.3065
   Video 3, Frame 1332, Value 3.3053
   Video 11, Frame 1011, Value 3.3035
   Video 11, Frame 1012, Value 3.3024
   Video 3, Frame 1324, Value 3.2999
   Video 11, Frame 1008, Value 3.2994
   Video 3, Frame 1325, Value 3.2973
   Video 3, Frame 1323, Value 3.2963
   Video 3, Frame 1333, Value 3.2961
   Video 3, Frame 1311, Value 3.2952
   Video 3, Frame 1326, Value 3.2948
   Video 3, Frame 1335, Value 3.2945
   Video 3, Frame 1306, Value 3.2943
   Video 3, Frame 1307, Value 3.2935
   Video 3, Frame 1334, Value 3.2924
   Video 11, Frame 1007, Value 3.2924
