   Video 8, Frame 819, Value 1.9621
   Video 8, Frame 820, Value 1.9621
   Video 8, Frame 821, Value 1.9623
   Video 8, Frame 822, Value 1.9613
   Video 8, Frame 823, Value 1.9623
   Video 8, Frame 824, Value 1.9618
   Video 8, Frame 825, Value 1.9632
   Video 8, Frame 826, Value 1.9622
   Video 8, Frame 827, Value 1.9614
   Video 8, Frame 828, Value 1.9624
   Video 8, Frame 829, Value 1.9628
   Video 8, Frame 830, Value 1.9621
   Video 8, Frame 831, Value 1.9626
   Video 8, Frame 832, Value 1.9598
   Video 8, Frame 835, Value 1.9607
   Video 8, Frame 836, Value 1.9607
   Video 8, Frame 837, Value 1.9608
   Video 8, Frame 838, Value 1.9610
   Video 8, Frame 839, Value 1.9614
   Video 8, Frame 840, Value 1.9619
   Video 8, Frame 841, Value 1.9621
   Video 8, Frame 842, Value 1.9619
   Video 8, Frame 843, Value 1.9615
   Video 8, Frame 844, Value 1.9613
   Video 8, Frame 845, Value 1.9628
   Video 8, Frame 846, Value 1.9620
   Video 8, Frame 847, Value 1.9621
   Video 8, Frame 848, Value 1.9631
   Video 8, Frame 849, Value 1.9632
   Video 8, Frame 850, Value 1.9619
   Video 8, Frame 851, Value 1.9627
   Video 8, Frame 852, Value 1.9633
   Video 8, Frame 853, Value 1.9624
   Video 8, Frame 854, Value 1.9625
   Video 8, Frame 855, Value 1.9627
   Video 8, Frame 856, Value 1.9626
   Video 8, Frame 857, Value 1.9623
   Video 8, Frame 858, Value 1.9619
   Video 8, Frame 859, Value 1.9622
   Video 8, Frame 860, Value 1.9621
   Video 8, Frame 861, Value 1.9622
   Video 8, Frame 862, Value 1.9623
   Video 8, Frame 863, Value 1.9620
   Video 8, Frame 864, Value 1.9621
   Video 8, Frame 865, Value 1.9624
   Video 8, Frame 866, Value 1.9614
   Video 8, Frame 867, Value 1.9614
   Video 8, Frame 868, Value 1.9621
   Video 10, Frame 776, Value 1.9613
   Video 10, Frame 777, Value 1.9615
   Video 10, Frame 778, Value 1.9627
   Video 10, Frame 779, Value 1.9633
   Video 10, Frame 780, Value 1.9643
   Video 10, Frame 781, Value 1.9638
   Video 10, Frame 782, Value 1.9642
   Video 10, Frame 783, Value 1.9634
   Video 10, Frame 784, Value 1.9634
   Video 10, Frame 785, Value 1.9633
   Video 10, Frame 786, Value 1.9637
   Video 10, Frame 787, Value 1.9639
   Video 10, Frame 788, Value 1.9632
   Video 10, Frame 789, Value 1.9637
   Video 10, Frame 790, Value 1.9648
   Video 10, Frame 791, Value 1.9650
   Video 10, Frame 792, Value 1.9633
   Video 10, Frame 793, Value 1.9636
   Video 10, Frame 794, Value 1.9630
   Video 10, Frame 795, Value 1.9626
   Video 10, Frame 796, Value 1.9640
   Video 10, Frame 797, Value 1.9650
   Video 10, Frame 798, Value 1.9641
   Video 10, Frame 799, Value 1.9636
   Video 10, Frame 800, Value 1.9628
   Video 10, Frame 801, Value 1.9634
   Video 10, Frame 802, Value 1.9635
   Video 10, Frame 803, Value 1.9629
   Video 10, Frame 804, Value 1.9630
   Video 10, Frame 805, Value 1.9622
   Video 10, Frame 806, Value 1.9622
   Video 10, Frame 807, Value 1.9619
   Video 10, Frame 808, Value 1.9629
   Video 10, Frame 809, Value 1.9622
   Video 10, Frame 810, Value 1.9623
   Video 10, Frame 811, Value 1.9622
   Video 10, Frame 812, Value 1.9624
   Video 10, Frame 813, Value 1.9626
   Video 10, Frame 814, Value 1.9623
   Video 10, Frame 815, Value 1.9623
   Video 15, Frame 776, Value 1.9621
   Video 15, Frame 777, Value 1.9632
   Video 15, Frame 778, Value 1.9650
   Video 15, Frame 779, Value 1.9655
   Video 15, Frame 780, Value 1.9657
   Video 15, Frame 781, Value 1.9651
   Video 15, Frame 782, Value 1.9642
   Video 15, Frame 783, Value 1.9649
   Video 15, Frame 784, Value 1.9645
   Video 15, Frame 785, Value 1.9638
   Video 15, Frame 786, Value 1.9640
   Video 15, Frame 787, Value 1.9651
   Video 15, Frame 788, Value 1.9648
   Video 15, Frame 789, Value 1.9642
   Video 15, Frame 790, Value 1.9639
   Video 15, Frame 791, Value 1.9650
   Video 15, Frame 792, Value 1.9637
   Video 15, Frame 793, Value 1.9632
   Video 15, Frame 794, Value 1.9632
   Video 15, Frame 795, Value 1.9636
   Video 15, Frame 796, Value 1.9628
   Video 15, Frame 797, Value 1.9628
   Video 15, Frame 798, Value 1.9631
   Video 15, Frame 799, Value 1.9631
   Video 15, Frame 800, Value 1.9622
   Video 15, Frame 801, Value 1.9624
   Video 15, Frame 802, Value 1.9628
   Video 15, Frame 803, Value 1.9631
   Video 15, Frame 804, Value 1.9642
   Video 15, Frame 805, Value 1.9638
   Video 15, Frame 806, Value 1.9635
   Video 15, Frame 807, Value 1.9636
   Video 15, Frame 808, Value 1.9642
   Video 15, Frame 809, Value 1.9646
   Video 15, Frame 810, Value 1.9639
   Video 15, Frame 811, Value 1.9647
   Video 15, Frame 812, Value 1.9632
   Video 15, Frame 813, Value 1.9632
   Video 15, Frame 814, Value 1.9626
   Video 15, Frame 815, Value 1.9632
   Video 15, Frame 816, Value 1.9621
   Video 17, Frame 776, Value 1.9613
   Video 17, Frame 777, Value 1.9623
   Video 17, Frame 778, Value 1.9630
   Video 17, Frame 779, Value 1.9630
   Video 17, Frame 780, Value 1.9632
   Video 17, Frame 781, Value 1.9630
   Video 17, Frame 782, Value 1.9627
   Video 24, Frame 776, Value 1.9609
   Video 24, Frame 777, Value 1.9614
   Video 24, Frame 778, Value 1.9630
   Video 24, Frame 779, Value 1.9637
   Video 24, Frame 780, Value 1.9634
   Video 24, Frame 781, Value 1.9637
   Video 24, Frame 782, Value 1.9624
   Video 24, Frame 783, Value 1.9637
   Video 24, Frame 784, Value 1.9602
   Video 24, Frame 785, Value 1.9612
   Video 24, Frame 786, Value 1.9628
   Video 24, Frame 787, Value 1.9630
   Video 24, Frame 788, Value 1.9640
   Video 24, Frame 789, Value 1.9642
   Video 24, Frame 790, Value 1.9631
   Video 24, Frame 791, Value 1.9635
   Video 24, Frame 792, Value 1.9622
   Video 24, Frame 793, Value 1.9620
   Video 24, Frame 794, Value 1.9614
   Video 24, Frame 795, Value 1.9613
   Video 24, Frame 796, Value 1.9622
   Video 24, Frame 797, Value 1.9620
   Video 24, Frame 798, Value 1.9617
   Video 24, Frame 799, Value 1.9615
   Video 24, Frame 800, Value 1.9600
   Video 24, Frame 801, Value 1.9602
   Video 24, Frame 802, Value 1.9615
   Video 24, Frame 803, Value 1.9622
   Video 24, Frame 804, Value 1.9613
   Video 24, Frame 805, Value 1.9617
   Video 24, Frame 806, Value 1.9605
   Video 24, Frame 807, Value 1.9610
   Video 24, Frame 808, Value 1.9617
   Video 24, Frame 809, Value 1.9613
   Video 24, Frame 810, Value 1.9608
   Video 24, Frame 811, Value 1.9603
   Video 24, Frame 812, Value 1.9611
   Video 24, Frame 813, Value 1.9609
   Video 24, Frame 814, Value 1.9609
   Video 24, Frame 815, Value 1.9601
   Video 26, Frame 796, Value 1.9600
   Video 26, Frame 814, Value 1.9598
   Video 26, Frame 816, Value 1.9606
   Video 26, Frame 817, Value 1.9600
   Video 26, Frame 818, Value 1.9601
   Video 26, Frame 819, Value 1.9599
   Video 26, Frame 821, Value 1.9603
   Video 26, Frame 826, Value 1.9598
   Video 26, Frame 827, Value 1.9598
   Video 26, Frame 829, Value 1.9599
   Video 26, Frame 833, Value 1.9598
   Video 26, Frame 835, Value 1.9600
   Video 26, Frame 836, Value 1.9607
   Video 26, Frame 837, Value 1.9602
   Video 26, Frame 844, Value 1.9599
   Video 26, Frame 845, Value 1.9603
   Video 26, Frame 847, Value 1.9601
   Video 34, Frame 776, Value 1.9606
   Video 34, Frame 777, Value 1.9620
   Video 34, Frame 778, Value 1.9623
   Video 34, Frame 779, Value 1.9621
   Video 34, Frame 780, Value 1.9643
   Video 34, Frame 781, Value 1.9640
   Video 34, Frame 782, Value 1.9635
   Video 34, Frame 783, Value 1.9633
   Video 34, Frame 784, Value 1.9612
   Video 34, Frame 785, Value 1.9614
   Video 34, Frame 786, Value 1.9614
   Video 34, Frame 787, Value 1.9615
   Video 34, Frame 788, Value 1.9628
   Video 34, Frame 789, Value 1.9629
   Video 34, Frame 790, Value 1.9617
   Video 34, Frame 791, Value 1.9626
   Video 34, Frame 792, Value 1.9618
   Video 34, Frame 793, Value 1.9621
   Video 34, Frame 794, Value 1.9625
   Video 34, Frame 795, Value 1.9625
   Video 34, Frame 796, Value 1.9637
   Video 34, Frame 797, Value 1.9640
   Video 34, Frame 798, Value 1.9632
   Video 34, Frame 799, Value 1.9630
